1.21
0.001
1.6447 
0.0001
0.0305
0.00001
0 17.858 
50 17.521
100 17.225
150 16.983
200 16.846
210 16.828 16.830 16.834
220 16.819 16.824 16.823
230 16.820 16.824 16.826
240 16.825 16.824 16.827
250 16.842 16.845 16.842
260 16.862 16.888 16.862
300 17.101
350 17.604
360 17.813
400 18.726
450 21.063
500 25.883
q
0.1
5, 15.475, 16.429
15, 15.667, 16.511
25, 15.795, 16.547
35, 15.956, 16.639
45, 16.120, 16.727
55, 16.372, 16.814
65, 16.508, 16.895
75, 16.695, 16.986
85, 16.906, 17.080
95, 17.131, 17.224
97.5, 17.173, 17.194
98, 17.222, 17.205
98.5, 17.283, 17.207
100, 17.262, 17.218
105, 17.354, 17.243
115, 17.607, 17.356
q
0.735 0.001
